protocol,chunk_k,chunk_n,fragment_k,fragment_n,op,latency
kademlia,8,10,48,120,put,49.575584
kademlia,8,10,48,120,get,5.9502845
kademlia,8,10,48,120,put,48.198536
kademlia,8,10,48,120,get,6.864458
kademlia,8,10,48,120,put,47.412296
kademlia,8,10,48,120,get,6.483618
kademlia,8,10,48,120,put,50.54866
kademlia,8,10,48,120,get,6.384634
kademlia,8,10,48,120,put,47.20395
kademlia,8,10,48,120,get,6.210877
kademlia,8,10,48,120,put,49.0265
kademlia,8,10,48,120,get,31.579197
kademlia,8,10,48,120,put,49.715942
kademlia,8,10,48,120,get,5.1445036
kademlia,8,10,48,120,put,50.024338
kademlia,8,10,48,120,get,5.0328035
kademlia,8,10,48,120,put,48.58437
kademlia,8,10,48,120,get,5.7537656
kademlia,8,10,48,120,put,47.9932
kademlia,8,10,48,120,get,5.0747848
